Mon,Tue,Wed,Thu,Fri,Sat,congestion_area,hour_sin,hour_cos
0.0,0.0,0.0,0.0,1.0,0.0,5.0,0.49999999999999994,-0.8660254037844387
0.0,0.0,0.0,0.0,1.0,0.0,4.99,-0.25881904510252157,0.9659258262890681
0.0,0.0,0.0,0.0,1.0,0.0,4.54,-0.9659258262890683,-0.25881904510252063
0.0,0.0,0.0,0.0,1.0,0.0,4.44,-0.7071067811865477,0.7071067811865474
0.0,0.0,0.0,0.0,1.0,0.0,4.43,-0.8660254037844385,-0.5000000000000004
0.0,0.0,0.0,0.0,0.0,1.0,4.32,-0.9659258262890683,-0.25881904510252063
0.0,0.0,0.0,0.0,1.0,0.0,4.19,0.49999999999999994,-0.8660254037844387
0.0,0.0,0.0,0.0,1.0,0.0,4.15,-0.4999999999999997,-0.8660254037844388
0.0,0.0,0.0,0.0,1.0,0.0,4.11,-0.25881904510252157,0.9659258262890681
0.0,0.0,0.0,0.0,1.0,0.0,4.08,-0.5000000000000004,0.8660254037844384
0.0,0.0,0.0,0.0,1.0,0.0,4.08,-0.2588190451025208,-0.9659258262890683
0.0,0.0,0.0,0.0,1.0,0.0,4.07,1.2246467991473532e-16,-1.0
0.0,0.0,0.0,0.0,1.0,0.0,4.06,-0.9659258262890683,-0.25881904510252063
0.0,0.0,0.0,0.0,0.0,1.0,4.05,-0.9659258262890683,-0.25881904510252063
0.0,0.0,0.0,0.0,1.0,0.0,4.01,-0.7071067811865477,0.7071067811865474
0.0,0.0,0.0,0.0,0.0,1.0,3.98,0.8660254037844387,-0.4999999999999998
0.0,0.0,0.0,0.0,1.0,0.0,3.93,0.49999999999999994,-0.8660254037844387
0.0,0.0,0.0,0.0,0.0,1.0,3.93,-0.4999999999999997,-0.8660254037844388
0.0,0.0,0.0,0.0,1.0,0.0,3.92,-1.0,-1.8369701987210297e-16
0.0,0.0,0.0,0.0,0.0,0.0,3.81,-0.2588190451025208,-0.9659258262890683
0.0,0.0,0.0,0.0,1.0,0.0,3.73,-0.2588190451025208,-0.9659258262890683
0.0,0.0,0.0,0.0,1.0,0.0,3.69,0.258819045102521,-0.9659258262890682
0.0,0.0,0.0,0.0,0.0,1.0,3.64,1.2246467991473532e-16,-1.0
0.0,0.0,0.0,0.0,1.0,0.0,3.64,0.49999999999999994,-0.8660254037844387
0.0,0.0,0.0,1.0,0.0,0.0,3.64,0.49999999999999994,-0.8660254037844387
0.0,0.0,0.0,0.0,1.0,0.0,3.63,0.7071067811865476,-0.7071067811865475
0.0,0.0,0.0,0.0,1.0,0.0,3.62,0.258819045102521,-0.9659258262890682
0.0,0.0,0.0,0.0,0.0,1.0,3.57,-0.2588190451025208,-0.9659258262890683
0.0,0.0,0.0,0.0,1.0,0.0,3.54,-0.2588190451025208,-0.9659258262890683
0.0,0.0,0.0,0.0,0.0,0.0,3.53,0.258819045102521,-0.9659258262890682
0.0,0.0,0.0,0.0,1.0,0.0,3.52,1.2246467991473532e-16,-1.0
0.0,0.0,0.0,0.0,0.0,0.0,3.52,0.258819045102521,-0.9659258262890682
0.0,0.0,0.0,0.0,1.0,0.0,3.51,-0.9659258262890683,-0.25881904510252063
0.0,0.0,0.0,0.0,1.0,0.0,3.51,0.49999999999999994,-0.8660254037844387
0.0,0.0,0.0,0.0,1.0,0.0,3.49,1.2246467991473532e-16,-1.0
0.0,0.0,0.0,0.0,1.0,0.0,3.44,-0.5000000000000004,0.8660254037844384
0.0,0.0,0.0,0.0,1.0,0.0,3.44,-0.5000000000000004,0.8660254037844384
0.0,0.0,0.0,0.0,0.0,1.0,3.43,0.7071067811865476,-0.7071067811865475
0.0,0.0,0.0,0.0,1.0,0.0,3.42,-0.2588190451025208,-0.9659258262890683
0.0,0.0,0.0,0.0,0.0,1.0,3.41,-1.0,-1.8369701987210297e-16
0.0,0.0,0.0,0.0,0.0,0.0,3.38,0.7071067811865476,-0.7071067811865475
0.0,0.0,0.0,0.0,0.0,1.0,3.38,-0.2588190451025208,-0.9659258262890683
0.0,0.0,0.0,0.0,0.0,1.0,3.37,0.49999999999999994,-0.8660254037844387
0.0,0.0,0.0,0.0,0.0,1.0,3.37,0.8660254037844387,-0.4999999999999998
0.0,0.0,0.0,0.0,0.0,1.0,3.36,0.49999999999999994,-0.8660254037844387
0.0,0.0,0.0,0.0,1.0,0.0,3.32,-0.7071067811865471,-0.7071067811865479
0.0,0.0,0.0,0.0,0.0,1.0,3.28,0.258819045102521,-0.9659258262890682
0.0,0.0,1.0,0.0,0.0,0.0,3.23,0.49999999999999994,-0.8660254037844387
0.0,0.0,0.0,0.0,1.0,0.0,3.22,0.7071067811865476,-0.7071067811865475
0.0,0.0,0.0,0.0,1.0,0.0,3.21,0.49999999999999994,-0.8660254037844387
0.0,0.0,0.0,0.0,0.0,1.0,3.2,-0.4999999999999997,-0.8660254037844388
0.0,0.0,0.0,0.0,0.0,0.0,3.2,1.2246467991473532e-16,-1.0
0.0,0.0,1.0,0.0,0.0,0.0,3.15,0.258819045102521,-0.9659258262890682
0.0,0.0,0.0,0.0,0.0,1.0,3.15,0.7071067811865476,-0.7071067811865475
0.0,0.0,0.0,0.0,1.0,0.0,3.11,-0.7071067811865471,-0.7071067811865479
0.0,0.0,1.0,0.0,0.0,0.0,3.1,1.2246467991473532e-16,-1.0
0.0,0.0,0.0,0.0,0.0,0.0,3.08,0.49999999999999994,-0.8660254037844387
0.0,0.0,0.0,0.0,0.0,1.0,3.07,0.258819045102521,-0.9659258262890682
