snapname,jb_rating,wdlands_rating
08-16_07-00_Sat.jpg,0.05,0.02
08-16_08-00_Sat.jpg,4.0,0.73
08-16_09-00_Sat.jpg,4.56,0.03
08-16_10-00_Sat.jpg,4.55,0.03
08-16_11-00_Sat.jpg,4.07,0.02
08-16_12-00_Sat.jpg,4.11,1.69
08-16_13-00_Sat.jpg,4.08,3.31
08-16_14-00_Sat.jpg,4.51,0.01
08-16_15-00_Sat.jpg,4.21,0.01
08-16_16-00_Sat.jpg,0.18,0.02
08-16_17-00_Sat.jpg,4.61,0.38
08-16_18-00_Sat.jpg,2.0,1.1
08-16_19-00_Sat.jpg,0.17,0.76
08-16_20-00_Sat.jpg,0.02,0.01
08-16_21-00_Sat.jpg,0.03,0.02
08-16_22-00_Sat.jpg,0.03,0.02
08-16_23-00_Sat.jpg,0.04,4.99
08-17_00-00_Sun.jpg,0.02,4.78
08-17_01-00_Sun.jpg,0.03,4.73
08-17_02-00_Sun.jpg,0.02,0.04
08-17_03-00_Sun.jpg,0.02,3.03
08-17_04-00_Sun.jpg,0.03,4.85
08-17_05-00_Sun.jpg,0.02,0.01
08-17_06-00_Sun.jpg,0.02,0.03
08-17_07-00_Sun.jpg,0.05,0.03
08-17_08-00_Sun.jpg,0.06,2.34
08-17_09-00_Sun.jpg,0.05,4.6
08-17_10-00_Sun.jpg,0.05,4.49
08-17_11-00_Sun.jpg,0.05,4.4
08-17_12-00_Sun.jpg,0.05,4.58
08-17_13-00_Sun.jpg,0.06,0.02
08-17_14-00_Sun.jpg,0.06,0.02
08-17_15-00_Sun.jpg,0.27,0.02
08-17_16-00_Sun.jpg,0.39,1.57
08-17_17-00_Sun.jpg,0.33,0.02
08-17_18-00_Sun.jpg,0.17,0.05
08-17_19-00_Sun.jpg,0.09,3.9
08-17_20-00_Sun.jpg,0.02,2.75
08-17_21-00_Sun.jpg,0.02,0.01
08-17_22-00_Sun.jpg,0.02,0.01
08-17_23-00_Sun.jpg,0.02,1.19
08-18_00-00_Mon.jpg,0.02,0.03
08-18_06-00_Mon.jpg,0.03,2.4
08-18_07-00_Mon.jpg,0.08,1.76
08-18_08-00_Mon.jpg,0.43,4.01
08-18_09-00_Mon.jpg,0.43,3.86
08-18_10-00_Mon.jpg,0.27,0.75
08-18_11-00_Mon.jpg,0.05,0.15
08-18_12-00_Mon.jpg,0.07,3.95
08-18_13-00_Mon.jpg,0.1,4.15
08-18_14-00_Mon.jpg,0.06,4.56
08-18_15-00_Mon.jpg,0.22,3.79
08-18_16-00_Mon.jpg,0.05,4.74
08-18_17-00_Mon.jpg,0.28,4.56
08-18_18-00_Mon.jpg,0.43,4.47
08-18_19-00_Mon.jpg,0.24,4.46
08-18_20-00_Mon.jpg,0.02,4.69
08-18_21-00_Mon.jpg,0.03,4.42
08-18_22-00_Mon.jpg,0.02,4.55
08-18_23-00_Mon.jpg,0.02,0.91
08-19_00-00_Tue.jpg,0.02,0.02
08-19_01-00_Tue.jpg,0.03,0.01
08-19_02-00_Tue.jpg,0.03,3.48
08-19_03-00_Tue.jpg,0.03,0.02
08-19_04-00_Tue.jpg,0.03,0.01
08-19_05-00_Tue.jpg,0.02,0.02
08-19_06-00_Tue.jpg,0.03,3.27
08-19_07-00_Tue.jpg,0.05,2.6
08-19_08-00_Tue.jpg,0.52,2.62
08-19_09-00_Tue.jpg,0.05,4.57
08-19_10-00_Tue.jpg,0.05,4.54
08-19_11-00_Tue.jpg,0.05,0.08
08-19_12-00_Tue.jpg,0.05,0.03
08-19_13-00_Tue.jpg,0.13,0.05
08-19_14-00_Tue.jpg,0.29,3.1
08-19_15-00_Tue.jpg,0.19,3.97
08-19_16-00_Tue.jpg,0.1,4.68
08-19_17-00_Tue.jpg,0.26,4.81
08-19_18-00_Tue.jpg,0.27,4.66
08-19_19-00_Tue.jpg,0.53,4.2
08-19_20-00_Tue.jpg,0.03,2.64
08-19_21-00_Tue.jpg,0.02,2.52
08-19_22-00_Tue.jpg,0.03,0.02
08-19_23-00_Tue.jpg,0.04,0.02
08-20_00-00_Wed.jpg,0.04,0.03
08-20_01-00_Wed.jpg,0.03,0.03
08-20_02-00_Wed.jpg,0.03,0.02
08-20_03-00_Wed.jpg,0.03,0.02
08-20_04-00_Wed.jpg,0.03,0.01
08-20_05-00_Wed.jpg,0.04,0.24
08-20_06-00_Wed.jpg,0.04,0.95
08-20_07-00_Wed.jpg,0.05,4.18
08-20_08-00_Wed.jpg,0.05,4.34
08-20_09-00_Wed.jpg,0.88,4.5
08-20_10-00_Wed.jpg,0.59,4.24
08-20_11-00_Wed.jpg,0.06,4.12
08-20_12-00_Wed.jpg,0.08,2.81
08-20_13-00_Wed.jpg,0.06,0.03
08-20_14-00_Wed.jpg,0.08,2.99
08-20_15-00_Wed.jpg,0.07,4.66
08-20_16-00_Wed.jpg,0.07,4.78
08-20_18-00_Wed.jpg,0.06,2.8
08-20_19-00_Wed.jpg,0.28,0.84
08-20_20-00_Wed.jpg,0.02,0.02
08-20_21-00_Wed.jpg,0.02,0.03
08-20_22-00_Wed.jpg,0.02,4.85
08-20_23-00_Wed.jpg,0.03,0.01
08-21_00-00_Thu.jpg,0.02,0.02
08-21_01-00_Thu.jpg,0.02,0.01
08-21_02-00_Thu.jpg,0.02,0.01
08-21_03-00_Thu.jpg,0.03,0.01
08-21_04-00_Thu.jpg,0.03,0.01
08-21_05-00_Thu.jpg,0.03,0.02
08-21_06-00_Thu.jpg,0.04,0.27
08-21_07-00_Thu.jpg,0.05,3.71
08-21_08-00_Thu.jpg,0.05,3.75
08-21_09-00_Thu.jpg,0.11,4.23
08-21_10-00_Thu.jpg,0.08,0.09
08-21_11-00_Thu.jpg,0.72,3.86
08-21_12-00_Thu.jpg,0.3,0.28
08-21_13-00_Thu.jpg,0.05,2.0
08-21_14-00_Thu.jpg,0.06,0.03
08-21_15-00_Thu.jpg,0.08,4.44
08-21_16-00_Thu.jpg,0.05,4.31
08-21_17-00_Thu.jpg,0.17,4.15
08-21_18-00_Thu.jpg,0.24,4.43
08-21_19-00_Thu.jpg,0.23,4.14
08-21_20-00_Thu.jpg,0.02,4.02
08-21_21-00_Thu.jpg,0.01,0.46
08-21_22-00_Thu.jpg,0.02,1.45
08-21_23-00_Thu.jpg,0.03,0.02
08-22_00-00_Fri.jpg,0.02,0.01
08-22_01-00_Fri.jpg,0.03,0.02
08-22_02-00_Fri.jpg,0.02,0.02
08-22_03-00_Fri.jpg,0.03,2.23
08-22_04-00_Fri.jpg,0.03,0.01
08-22_05-00_Fri.jpg,0.03,0.01
08-22_06-00_Fri.jpg,0.04,2.59
08-22_07-00_Fri.jpg,0.09,3.7
08-22_08-00_Fri.jpg,0.05,4.11
08-22_09-00_Fri.jpg,0.05,0.03
08-22_10-00_Fri.jpg,0.05,0.74
08-22_11-00_Fri.jpg,0.05,2.34
08-22_12-00_Fri.jpg,0.06,3.66
08-22_13-00_Fri.jpg,0.05,4.31
08-22_14-00_Fri.jpg,0.06,4.24
08-22_15-00_Fri.jpg,0.2,4.56
08-22_16-00_Fri.jpg,0.31,4.55
08-22_17-00_Fri.jpg,0.08,3.74
08-22_18-00_Fri.jpg,0.66,0.88
08-22_19-00_Fri.jpg,0.06,3.66
08-22_20-00_Fri.jpg,0.06,4.15
08-22_21-00_Fri.jpg,0.03,0.03
08-22_22-00_Fri.jpg,0.03,3.5
08-22_23-00_Fri.jpg,0.03,0.01
08-23_00-00_Sat.jpg,0.02,0.02
08-23_01-00_Sat.jpg,0.02,0.04
08-23_02-00_Sat.jpg,0.02,0.02
08-23_03-00_Sat.jpg,0.02,4.91
08-23_04-00_Sat.jpg,0.03,0.02
08-23_05-00_Sat.jpg,0.03,0.02
08-23_06-00_Sat.jpg,0.03,0.04
08-23_07-00_Sat.jpg,0.78,0.22
08-23_08-00_Sat.jpg,0.65,4.49
08-23_09-00_Sat.jpg,4.0,4.53
08-23_10-00_Sat.jpg,4.3,3.01
08-23_11-00_Sat.jpg,4.59,0.03
08-23_12-00_Sat.jpg,0.22,0.02
08-23_13-00_Sat.jpg,0.14,0.49
08-23_14-00_Sat.jpg,0.3,2.53
08-23_15-00_Sat.jpg,0.1,1.13
08-23_16-00_Sat.jpg,0.12,4.74
08-23_17-00_Sat.jpg,0.11,4.69
08-23_18-00_Sat.jpg,4.0,4.05
08-23_19-00_Sat.jpg,0.31,3.34
08-23_20-00_Sat.jpg,0.03,4.71
08-23_21-00_Sat.jpg,0.03,4.75
08-23_22-00_Sat.jpg,0.01,0.02
08-23_23-00_Sat.jpg,0.01,0.01
08-24_04-00_Sun.jpg,0.04,1.02
08-24_05-00_Sun.jpg,0.03,0.03
08-24_06-00_Sun.jpg,0.03,0.03
08-24_07-00_Sun.jpg,0.06,0.0
08-24_08-00_Sun.jpg,0.05,0.04
08-24_09-00_Sun.jpg,0.23,0.2
08-24_10-00_Sun.jpg,0.27,3.06
08-24_11-00_Sun.jpg,0.46,0.83
08-24_12-00_Sun.jpg,0.31,4.37
08-24_13-00_Sun.jpg,0.68,4.56
08-24_14-00_Sun.jpg,0.27,4.14
08-24_15-00_Sun.jpg,0.1,4.37
08-24_16-00_Sun.jpg,0.26,4.35
08-24_17-00_Sun.jpg,0.16,0.01
08-24_18-00_Sun.jpg,0.06,0.02
08-24_19-00_Sun.jpg,0.08,4.57
08-24_20-00_Sun.jpg,0.02,0.03
08-24_21-00_Sun.jpg,0.03,1.52
08-24_22-00_Sun.jpg,0.02,2.33
08-24_23-00_Sun.jpg,0.03,4.53
08-25_00-00_Mon.jpg,0.02,1.14
08-25_01-00_Mon.jpg,0.03,0.01
08-25_02-00_Mon.jpg,0.02,0.02
08-25_03-00_Mon.jpg,0.02,0.01
08-25_04-00_Mon.jpg,0.03,0.02
08-25_05-00_Mon.jpg,0.03,0.02
08-25_06-00_Mon.jpg,0.03,3.76
08-25_07-00_Mon.jpg,0.11,2.41
08-25_08-00_Mon.jpg,0.05,3.16
08-25_09-00_Mon.jpg,0.05,4.13
08-25_10-00_Mon.jpg,0.05,4.26
08-25_11-00_Mon.jpg,0.07,4.05
08-25_12-00_Mon.jpg,0.05,4.0
08-25_13-00_Mon.jpg,0.05,4.44
08-25_14-00_Mon.jpg,0.06,4.23
08-25_15-00_Mon.jpg,0.08,4.26
08-25_16-00_Mon.jpg,0.06,3.83
08-25_17-00_Mon.jpg,0.06,3.5
08-25_18-00_Mon.jpg,0.42,0.14
08-25_19-00_Mon.jpg,0.29,0.03
08-25_20-00_Mon.jpg,0.03,0.12
08-25_21-00_Mon.jpg,0.03,0.01
08-25_22-00_Mon.jpg,0.04,0.02
08-25_23-00_Mon.jpg,0.03,0.01
08-26_00-00_Tue.jpg,0.03,1.7
08-26_01-00_Tue.jpg,0.03,0.01
