datetime,road_to,ratings_used,custom_hyperparameters,mae,rmse,model
2025-10-28 13:28,jb,4-32,{'random_state': 0},0.6391940446109194,1.0796039915953768,"LGBMRegressor(device='gpu', learning_rate=0.09, n_estimators=135, num_leaves=33)"
2025-10-28 13:28,jb,4-32,{'random_state': 0},0.6399795243030223,1.0793539007198694,"LGBMRegressor(device='gpu', learning_rate=0.09, n_estimators=140, num_leaves=33)"
2025-10-28 13:29,jb,4-32,{'random_state': 0},0.6403625654266465,1.0798522190238602,"LGBMRegressor(device='gpu', learning_rate=0.09, n_estimators=139, num_leaves=33)"
2025-10-28 13:29,jb,4-32,{'random_state': 0},0.6397677987042938,1.0786924331790517,"LGBMRegressor(device='gpu', learning_rate=0.09, n_estimators=141, num_leaves=33)"
2025-10-28 13:29,jb,4-32,{'random_state': 0},0.6395228251679153,1.0787206990710465,"LGBMRegressor(device='gpu', learning_rate=0.09, n_estimators=142, num_leaves=33)"
2025-10-28 13:29,jb,4-32,{'random_state': 0},0.6398848906112053,1.079542473589231,"LGBMRegressor(device='gpu', learning_rate=0.09, n_estimators=144, num_leaves=33)"
2025-10-28 13:29,jb,4-32,{'random_state': 0},0.6400806865065424,1.079665155206829,"LGBMRegressor(device='gpu', learning_rate=0.09, n_estimators=143, num_leaves=33)"
2025-10-28 13:30,jb,4-32,{'random_state': 0},0.6521857986157042,1.0967813744347565,"LGBMRegressor(device='gpu', learning_rate=0.085, n_estimators=143,
              num_leaves=33)"
2025-10-28 13:30,jb,4-32,{'random_state': 0},0.6521066972452845,1.0957490287270435,"LGBMRegressor(device='gpu', learning_rate=0.085, n_estimators=149,
              num_leaves=33)"
2025-10-28 13:30,jb,4-32,{'random_state': 0},0.6518606209473161,1.0937231944218089,"LGBMRegressor(device='gpu', learning_rate=0.085, n_estimators=160,
              num_leaves=33)"
2025-10-28 13:30,jb,4-32,{'random_state': 0},0.6515136289513916,1.0919849999353903,"LGBMRegressor(device='gpu', learning_rate=0.085, n_estimators=162,
              num_leaves=33)"
2025-10-28 13:31,jb,4-32,{'random_state': 0},0.6529831150944516,1.0928001189651453,"LGBMRegressor(device='gpu', learning_rate=0.085, n_estimators=179,
              num_leaves=33)"
2025-10-28 13:31,jb,4-32,{'random_state': 0},0.6524548542335507,1.0930354623291276,"LGBMRegressor(device='gpu', learning_rate=0.085, n_estimators=171,
              num_leaves=33)"
2025-10-28 13:31,jb,4-32,{'random_state': 0},0.6400966040031638,1.0793732563742557,"LGBMRegressor(device='gpu', learning_rate=0.09, n_estimators=140, num_leaves=33)"
2025-10-28 13:31,jb,4-32,{'random_state': 0},0.6411297476936973,1.0809304424928257,"LGBMRegressor(device='gpu', learning_rate=0.09, n_estimators=129, num_leaves=33)"
2025-10-28 13:31,jb,4-32,{'random_state': 0},0.6404124241463537,1.0800063760237908,"LGBMRegressor(device='gpu', learning_rate=0.09, n_estimators=131, num_leaves=33)"
2025-10-28 13:32,jb,4-32,{'random_state': 0},0.6394178957375373,1.079905180112164,"LGBMRegressor(device='gpu', learning_rate=0.09, n_estimators=135, num_leaves=33)"
2025-10-28 13:32,jb,4-32,{'random_state': 0},0.6399551757032643,1.0792895402176093,"LGBMRegressor(device='gpu', learning_rate=0.09, n_estimators=140, num_leaves=33)"
2025-10-28 13:32,jb,4-32,{'random_state': 0},0.640095948272218,1.080217427248883,"LGBMRegressor(device='gpu', learning_rate=0.09, n_estimators=137, num_leaves=33)"
