month,exact_date_value,week_value,date_sin,date_cos,day_of_year,day_of_year_sin,day_of_year_cos,full_date_ymd
11,28,4,-0.5712682150947924,0.8207634412072763,333,0.4635502709028509,0.886070621534138,2024-11-28
11,28,4,-0.5712682150947924,0.8207634412072763,333,0.4635502709028509,0.886070621534138,2024-11-28
11,28,4,-0.5712682150947924,0.8207634412072763,333,0.4635502709028509,0.886070621534138,2024-11-28
11,28,4,-0.5712682150947924,0.8207634412072763,333,0.4635502709028509,0.886070621534138,2024-11-28
11,28,4,-0.5712682150947924,0.8207634412072763,333,0.4635502709028509,0.886070621534138,2024-11-28
11,28,4,-0.5712682150947924,0.8207634412072763,333,0.4635502709028509,0.886070621534138,2024-11-28
11,28,4,-0.5712682150947924,0.8207634412072763,333,0.4635502709028509,0.886070621534138,2024-11-28
11,28,4,-0.5712682150947924,0.8207634412072763,333,0.4635502709028509,0.886070621534138,2024-11-28
11,28,4,-0.5712682150947924,0.8207634412072763,333,0.4635502709028509,0.886070621534138,2024-11-28
11,28,4,-0.5712682150947924,0.8207634412072763,333,0.4635502709028509,0.886070621534138,2024-11-28
11,28,4,-0.5712682150947924,0.8207634412072763,333,0.4635502709028509,0.886070621534138,2024-11-28
11,28,4,-0.5712682150947924,0.8207634412072763,333,0.4635502709028509,0.886070621534138,2024-11-28
11,28,4,-0.5712682150947924,0.8207634412072763,333,0.4635502709028509,0.886070621534138,2024-11-28
11,28,4,-0.5712682150947924,0.8207634412072763,333,0.4635502709028509,0.886070621534138,2024-11-28
11,28,4,-0.5712682150947924,0.8207634412072763,333,0.4635502709028509,0.886070621534138,2024-11-28
11,28,4,-0.5712682150947924,0.8207634412072763,333,0.4635502709028509,0.886070621534138,2024-11-28
11,28,4,-0.5712682150947924,0.8207634412072763,333,0.4635502709028509,0.886070621534138,2024-11-28
11,28,4,-0.5712682150947924,0.8207634412072763,333,0.4635502709028509,0.886070621534138,2024-11-28
11,28,4,-0.5712682150947924,0.8207634412072763,333,0.4635502709028509,0.886070621534138,2024-11-28
11,30,4,-0.2012985200886611,0.9795299412524944,335,0.4937755501599771,0.869589389346611,2024-11-30
11,30,4,-0.2012985200886611,0.9795299412524944,335,0.4937755501599771,0.869589389346611,2024-11-30
11,30,4,-0.2012985200886611,0.9795299412524944,335,0.4937755501599771,0.869589389346611,2024-11-30
11,30,4,-0.2012985200886611,0.9795299412524944,335,0.4937755501599771,0.869589389346611,2024-11-30
11,30,4,-0.2012985200886611,0.9795299412524944,335,0.4937755501599771,0.869589389346611,2024-11-30
11,30,4,-0.2012985200886611,0.9795299412524944,335,0.4937755501599771,0.869589389346611,2024-11-30
11,30,4,-0.2012985200886611,0.9795299412524944,335,0.4937755501599771,0.869589389346611,2024-11-30
11,30,4,-0.2012985200886611,0.9795299412524944,335,0.4937755501599771,0.869589389346611,2024-11-30
11,30,4,-0.2012985200886611,0.9795299412524944,335,0.4937755501599771,0.869589389346611,2024-11-30
11,30,4,-0.2012985200886611,0.9795299412524944,335,0.4937755501599771,0.869589389346611,2024-11-30
11,30,4,-0.2012985200886611,0.9795299412524944,335,0.4937755501599771,0.869589389346611,2024-11-30
11,30,4,-0.2012985200886611,0.9795299412524944,335,0.4937755501599771,0.869589389346611,2024-11-30
11,30,4,-0.2012985200886611,0.9795299412524944,335,0.4937755501599771,0.869589389346611,2024-11-30
11,30,4,-0.2012985200886611,0.9795299412524944,335,0.4937755501599771,0.869589389346611,2024-11-30
11,30,4,-0.2012985200886611,0.9795299412524944,335,0.4937755501599771,0.869589389346611,2024-11-30
11,30,4,-0.2012985200886611,0.9795299412524944,335,0.4937755501599771,0.869589389346611,2024-11-30
11,30,4,-0.2012985200886611,0.9795299412524944,335,0.4937755501599771,0.869589389346611,2024-11-30
11,30,4,-0.2012985200886611,0.9795299412524944,335,0.4937755501599771,0.869589389346611,2024-11-30
11,30,4,-0.2012985200886611,0.9795299412524944,335,0.4937755501599771,0.869589389346611,2024-11-30
11,30,4,-0.2012985200886611,0.9795299412524944,335,0.4937755501599771,0.869589389346611,2024-11-30
11,30,4,-0.2012985200886611,0.9795299412524944,335,0.4937755501599771,0.869589389346611,2024-11-30
11,30,4,-0.2012985200886611,0.9795299412524944,335,0.4937755501599771,0.869589389346611,2024-11-30
11,30,4,-0.2012985200886611,0.9795299412524944,335,0.4937755501599771,0.869589389346611,2024-11-30
11,30,4,-0.2012985200886611,0.9795299412524944,335,0.4937755501599771,0.869589389346611,2024-11-30
12,1,1,0.20129852008866,0.9795299412524944,336,0.0172133561558346,0.9998518392091162,2024-12-01
12,1,1,0.20129852008866,0.9795299412524944,336,0.0172133561558346,0.9998518392091162,2024-12-01
12,1,1,0.20129852008866,0.9795299412524944,336,0.0172133561558346,0.9998518392091162,2024-12-01
12,1,1,0.20129852008866,0.9795299412524944,336,0.0172133561558346,0.9998518392091162,2024-12-01
12,1,1,0.20129852008866,0.9795299412524944,336,0.0172133561558346,0.9998518392091162,2024-12-01
12,1,1,0.20129852008866,0.9795299412524944,336,0.0172133561558346,0.9998518392091162,2024-12-01
12,1,1,0.20129852008866,0.9795299412524944,336,0.0172133561558346,0.9998518392091162,2024-12-01
12,1,1,0.20129852008866,0.9795299412524944,336,0.0172133561558346,0.9998518392091162,2024-12-01
12,1,1,0.20129852008866,0.9795299412524944,336,0.0172133561558346,0.9998518392091162,2024-12-01
12,1,1,0.20129852008866,0.9795299412524944,336,0.0172133561558346,0.9998518392091162,2024-12-01
12,1,1,0.20129852008866,0.9795299412524944,336,0.0172133561558346,0.9998518392091162,2024-12-01
12,1,1,0.20129852008866,0.9795299412524944,336,0.0172133561558346,0.9998518392091162,2024-12-01
12,1,1,0.20129852008866,0.9795299412524944,336,0.0172133561558346,0.9998518392091162,2024-12-01
12,1,1,0.20129852008866,0.9795299412524944,336,0.0172133561558346,0.9998518392091162,2024-12-01
12,1,1,0.20129852008866,0.9795299412524944,336,0.0172133561558346,0.9998518392091162,2024-12-01
12,1,1,0.20129852008866,0.9795299412524944,336,0.0172133561558346,0.9998518392091162,2024-12-01
12,1,1,0.20129852008866,0.9795299412524944,336,0.0172133561558346,0.9998518392091162,2024-12-01
12,1,1,0.20129852008866,0.9795299412524944,336,0.0172133561558346,0.9998518392091162,2024-12-01
12,2,1,0.3943558551133185,0.9189578116202306,337,0.0344216116227457,0.9994074007397048,2024-12-02
12,2,1,0.3943558551133185,0.9189578116202306,337,0.0344216116227457,0.9994074007397048,2024-12-02
12,2,1,0.3943558551133185,0.9189578116202306,337,0.0344216116227457,0.9994074007397048,2024-12-02
12,2,1,0.3943558551133185,0.9189578116202306,337,0.0344216116227457,0.9994074007397048,2024-12-02
12,2,1,0.3943558551133185,0.9189578116202306,337,0.0344216116227457,0.9994074007397048,2024-12-02
12,2,1,0.3943558551133185,0.9189578116202306,337,0.0344216116227457,0.9994074007397048,2024-12-02
12,2,1,0.3943558551133185,0.9189578116202306,337,0.0344216116227457,0.9994074007397048,2024-12-02
12,2,1,0.3943558551133185,0.9189578116202306,337,0.0344216116227457,0.9994074007397048,2024-12-02
12,2,1,0.3943558551133185,0.9189578116202306,337,0.0344216116227457,0.9994074007397048,2024-12-02
12,2,1,0.3943558551133185,0.9189578116202306,337,0.0344216116227457,0.9994074007397048,2024-12-02
12,2,1,0.3943558551133185,0.9189578116202306,337,0.0344216116227457,0.9994074007397048,2024-12-02
12,2,1,0.3943558551133185,0.9189578116202306,337,0.0344216116227457,0.9994074007397048,2024-12-02
12,2,1,0.3943558551133185,0.9189578116202306,337,0.0344216116227457,0.9994074007397048,2024-12-02
12,2,1,0.3943558551133185,0.9189578116202306,337,0.0344216116227457,0.9994074007397048,2024-12-02
12,2,1,0.3943558551133185,0.9189578116202306,337,0.0344216116227457,0.9994074007397048,2024-12-02
12,2,1,0.3943558551133185,0.9189578116202306,337,0.0344216116227457,0.9994074007397048,2024-12-02
12,2,1,0.3943558551133185,0.9189578116202306,337,0.0344216116227457,0.9994074007397048,2024-12-02
12,2,1,0.3943558551133185,0.9189578116202306,337,0.0344216116227457,0.9994074007397048,2024-12-02
12,2,1,0.3943558551133185,0.9189578116202306,337,0.0344216116227457,0.9994074007397048,2024-12-02
12,2,1,0.3943558551133185,0.9189578116202306,337,0.0344216116227457,0.9994074007397048,2024-12-02
12,2,1,0.3943558551133185,0.9189578116202306,337,0.0344216116227457,0.9994074007397048,2024-12-02
12,2,1,0.3943558551133185,0.9189578116202306,337,0.0344216116227457,0.9994074007397048,2024-12-02
12,2,1,0.3943558551133185,0.9189578116202306,337,0.0344216116227457,0.9994074007397048,2024-12-02
12,2,1,0.3943558551133185,0.9189578116202306,337,0.0344216116227457,0.9994074007397048,2024-12-02
12,3,1,0.5712682150947923,0.8207634412072763,338,0.0516196672232537,0.998666816288476,2024-12-03
12,3,1,0.5712682150947923,0.8207634412072763,338,0.0516196672232537,0.998666816288476,2024-12-03
12,3,1,0.5712682150947923,0.8207634412072763,338,0.0516196672232537,0.998666816288476,2024-12-03
12,3,1,0.5712682150947923,0.8207634412072763,338,0.0516196672232537,0.998666816288476,2024-12-03
12,3,1,0.5712682150947923,0.8207634412072763,338,0.0516196672232537,0.998666816288476,2024-12-03
12,3,1,0.5712682150947923,0.8207634412072763,338,0.0516196672232537,0.998666816288476,2024-12-03
12,3,1,0.5712682150947923,0.8207634412072763,338,0.0516196672232537,0.998666816288476,2024-12-03
12,3,1,0.5712682150947923,0.8207634412072763,338,0.0516196672232537,0.998666816288476,2024-12-03
12,3,1,0.5712682150947923,0.8207634412072763,338,0.0516196672232537,0.998666816288476,2024-12-03
12,3,1,0.5712682150947923,0.8207634412072763,338,0.0516196672232537,0.998666816288476,2024-12-03
12,3,1,0.5712682150947923,0.8207634412072763,338,0.0516196672232537,0.998666816288476,2024-12-03
12,3,1,0.5712682150947923,0.8207634412072763,338,0.0516196672232537,0.998666816288476,2024-12-03
12,3,1,0.5712682150947923,0.8207634412072763,338,0.0516196672232537,0.998666816288476,2024-12-03
12,3,1,0.5712682150947923,0.8207634412072763,338,0.0516196672232537,0.998666816288476,2024-12-03
12,3,1,0.5712682150947923,0.8207634412072763,338,0.0516196672232537,0.998666816288476,2024-12-03
12,3,1,0.5712682150947923,0.8207634412072763,338,0.0516196672232537,0.998666816288476,2024-12-03
12,3,1,0.5712682150947923,0.8207634412072763,338,0.0516196672232537,0.998666816288476,2024-12-03
12,3,1,0.5712682150947923,0.8207634412072763,338,0.0516196672232537,0.998666816288476,2024-12-03
12,3,1,0.5712682150947923,0.8207634412072763,338,0.0516196672232537,0.998666816288476,2024-12-03
12,3,1,0.5712682150947923,0.8207634412072763,338,0.0516196672232537,0.998666816288476,2024-12-03
12,3,1,0.5712682150947923,0.8207634412072763,338,0.0516196672232537,0.998666816288476,2024-12-03
12,3,1,0.5712682150947923,0.8207634412072763,338,0.0516196672232537,0.998666816288476,2024-12-03
12,3,1,0.5712682150947923,0.8207634412072763,338,0.0516196672232537,0.998666816288476,2024-12-03
12,3,1,0.5712682150947923,0.8207634412072763,338,0.0516196672232537,0.998666816288476,2024-12-03
12,4,1,0.72479278722912,0.6889669190756866,339,0.0688024268023198,0.9976303053065856,2024-12-04
12,4,1,0.72479278722912,0.6889669190756866,339,0.0688024268023198,0.9976303053065856,2024-12-04
12,4,1,0.72479278722912,0.6889669190756866,339,0.0688024268023198,0.9976303053065856,2024-12-04
